Year,Cities,Fish Consumption
2021,WONOSOBO,0.838
2021,MAGELANG,0.411
2021,BOYOLALI,0.500
2021,KLATEN,0.427
2021,SUKOHARJO,0.488
2021,WONOGIRI,0.443
2021,KARANGANYAR,0.517
2021,SRAGEN,0.793
2021,GROBOGAN,0.446
2021,BLORA,0.755
2021,REMBANG,0.932
2021,PATI,0.947
2021,KUDUS,0.534
2021,JEPARA,0.667
2021,DEMAK,0.670
2021,SEMARANG,0.474
2021,TEMANGGUNG,0.638
2021,KENDAL,0.677
2021,BATANG,1.045
2021,PEKALONGAN,0.792
2021,PEMALANG,0.614
2021,TEGAL,0.440
2021,BREBES,0.412
2021,MAGELANG,0.342
2021,SURAKARTA,0.341
2021,SALATIGA,0.584
2021,SEMARANG,0.585
2021,PEKALONGAN,0.373
2021,TEGAL,0.523
2021,KULON PROGO,0.290
2021,BANTUL,0.362
2021,GUNUNG KIDUL,0.449
2021,SLEMAN,0.607
2021,YOGYAKARTA,0.427
2021,PACITAN,0.349
2021,PONOROGO,0.270
2021,TRENGGALEK,0.658
2021,TULUNGAGUNG,0.763
2021,BLITAR,0.580
2021,KEDIRI,0.393
2021,MALANG,0.637
2021,LUMAJANG,1.013
2021,JEMBER,0.854
2021,BANYUWANGI,0.572
2021,BONDOWOSO,1.154
2021,SITUBONDO,0.576
2021,PROBOLINGGO,0.526
2021,PASURUAN,0.837
2021,SIDOARJO,0.591
2021,MOJOKERTO,0.632
2021,JOMBANG,0.667
2021,NGANJUK,0.434
2021,MADIUN,0.466
2021,MAGETAN,0.373
2021,NGAWI,0.635
2021,BOJONEGORO,0.635
2021,TUBAN,1.472
2021,LAMONGAN,0.800
2021,GRESIK,0.846
2021,BANGKALAN,1.179
2021,SAMPANG,1.413
2021,PAMEKASAN,1.021
2021,SUMENEP,1.260
2021,KEDIRI,0.424
2021,BLITAR,0.511
2021,MALANG,0.534
2021,PROBOLINGGO,0.835
2021,PASURUAN,0.872
2021,MOJOKERTO,0.619
2021,MADIUN,0.545
2021,SURABAYA,0.778
2021,BATU,0.763
2021,PANDEGLANG,0.769
2021,LEBAK,1.280
2021,TANGERANG,0.790
2021,SERANG,0.728
2021,TANGERANG,0.757
2021,CILEGON,0.641
2021,SERANG,0.604
