District,Year,Consumption,Expenditure per Capita
JAKARTA UTARA,2020,0.692,18437
BOGOR,2020,0.839,10317
SUKABUMI,2020,1.038,8823
CIANJUR,2020,0.919,7980
BANDUNG,2020,0.708,10201
GARUT,2020,0.646,7876
TASIKMALAYA,2020,0.58,7852
CIAMIS,2020,0.603,9288
KUNINGAN,2020,0.522,9459
CIREBON,2020,0.461,10342
MAJALENGKA,2020,0.363,9521
SUMEDANG,2020,0.723,10217
INDRAMAYU,2020,0.64,9859
SUBANG,2020,0.659,10790
PURWAKARTA,2020,0.928,11614
KARAWANG,2020,0.654,11315
BEKASI,2020,0.562,11241
BANDUNG BARAT,2020,0.829,8455
PANGANDARAN,2020,0.598,9084
BOGOR,2020,0.796,11564
SUKABUMI,2020,0.89,10999
BANDUNG,2020,0.561,16887
CIREBON,2020,0.388,11800
BEKASI,2020,0.821,15776
DEPOK,2020,0.746,15281
CIMAHI,2020,0.544,12025
TASIKMALAYA,2020,0.446,10263
KOTA BANJAR,2020,0.472,10535
CILACAP,2020,0.372,10440
BANYUMAS,2020,0.521,11448
PURBALINGGA,2020,0.347,9914
BANJARNEGARA,2020,1.089,9263
KEBUMEN,2020,0.404,8901
PURWOREJO,2020,0.492,10163
WONOSOBO,2020,0.725,10621
MAGELANG,2020,0.521,9301
BOYOLALI,2020,0.551,12910
KLATEN,2020,0.421,11921
SUKOHARJO,2020,0.472,11325
WONOGIRI,2020,0.446,9286
KARANGANYAR,2020,0.659,11428
SRAGEN,2020,0.913,12589
GROBOGAN,2020,0.521,10221
BLORA,2020,0.802,9571
REMBANG,2020,1.079,10328
PATI,2020,0.962,10390
KUDUS,2020,0.492,11160
JEPARA,2020,0.598,10343
DEMAK,2020,0.776,10128
SEMARANG,2020,0.46,11966
TEMANGGUNG,2020,0.777,9343
KENDAL,2020,0.643,11425
BATANG,2020,1.191,9431
PEKALONGAN,2020,0.788,10312
PEMALANG,2020,0.712,8461
TEGAL,2020,0.538,9612
BREBES,2020,0.371,10058
MAGELANG,2020,0.397,12210
SURAKARTA,2020,0.337,14761
SALATIGA,2020,0.685,15699
SEMARANG,2020,0.684,15243
PEKALONGAN,2020,0.412,12467
TEGAL,2020,0.467,12999
KULON PROGO,2020,0.344,10041
BANTUL,2020,0.392,15517
GUNUNG KIDUL,2020,0.57,9486
SLEMAN,2020,0.638,15926
YOGYAKARTA,2020,0.424,18678
PACITAN,2020,0.334,8796
PONOROGO,2020,0.363,9670
TRENGGALEK,2020,0.744,9630
TULUNGAGUNG,2020,0.637,10705
BLITAR,2020,0.554,10654
KEDIRI,2020,0.464,11000
MALANG,2020,0.599,10028
LUMAJANG,2020,0.827,9088
JEMBER,2020,0.907,9294
BANYUWANGI,2020,0.582,12140
BONDOWOSO,2020,1.264,10610
SITUBONDO,2020,0.492,9857
PROBOLINGGO,2020,0.573,10859
PASURUAN,2020,0.784,10164
SIDOARJO,2020,0.572,14458
MOJOKERTO,2020,0.583,12779
JOMBANG,2020,0.666,11261
NGANJUK,2020,0.467,12130
MADIUN,2020,0.515,11574
MAGETAN,2020,0.407,11776
NGAWI,2020,0.64,11418
BOJONEGORO,2020,0.8,10121
TUBAN,2020,1.433,10238
LAMONGAN,2020,0.913,11456
GRESIK,2020,0.665,13246
BANGKALAN,2020,1.067,8610
SAMPANG,2020,1.359,8739
PAMEKASAN,2020,0.961,8739
SUMENEP,2020,1.44,8888
KEDIRI,2020,0.388,12239
BLITAR,2020,0.575,13733
MALANG,2020,0.524,16593
PROBOLINGGO,2020,0.682,12180
PASURUAN,2020,0.741,13281
MOJOKERTO,2020,0.51,13499
MADIUN,2020,0.489,16018
SURABAYA,2020,0.687,17755
BATU,2020,0.81,12824
PANDEGLANG,2020,0.664,8572
LEBAK,2020,0.993,8690
TANGERANG,2020,0.84,12203
SERANG,2020,0.675,10665
TANGERANG,2020,0.718,14484
CILEGON,2020,0.58,13010
SERANG,2020,0.647,13212
TANGERANG SELATAN,2020,0.726,15667
JEMBRANA,2020,0.792,11790
TABANAN,2020,0.807,14494
BADUNG,2020,0.686,17503
GIANYAR,2020,0.927,14544
KLUNGKUNG,2020,0.705,11376
BANGLI,2020,0.843,11268
KARANGASEM,2020,1.36,10237
BULELENG,2020,0.733,13463
DENPASAR,2020,0.503,19723
LOMBOK BARAT,2020,0.692,11304
LOMBOK TENGAH,2020,1.044,9952
LOMBOK TIMUR,2020,0.73,9409
SUMBAWA,2020,0.828,9146
DOMPU,2020,0.854,8889
KAB.BIMA,2020,0.885,8468
SUMBAWA BARAT,2020,0.914,11536
LOMBOK UTARA,2020,0.787,9006
MATARAM,2020,0.703,14968
KOTA BIMA,2020,0.797,11105
SUMBA BARAT,2020,0.393,7321
SUMBA TIMUR,2020,0.465,9406
KUPANG,2020,0.342,7526
TIMOR TENGAH SELATAN,2020,0.331,6861
TIMOR TENGAH UTARA,2020,0.379,6364
BELU,2020,0.564,7479
ALOR,2020,0.735,6786
LEMBATA,2020,0.75,7305
FLORES TIMUR,2020,0.879,7631
SIKKA,2020,0.56,8081
ENDE,2020,0.747,9094
NGADA,2020,0.81,8865
MANGGARAI,2020,0.497,7203
ROTE NDAO,2020,0.467,6539
MANGGARAI BARAT,2020,0.634,7468
SUMBA TENGAH,2020,0.341,6108
SUMBA BARAT DAYA,2020,0.377,6372
NAGEKEO,2020,0.638,8309
MANGGARAI TIMUR,2020,0.411,5818
SABU RAIJUA,2020,0.437,5265
MALAKA,2020,0.596,5901
KUPANG,2020,0.581,13337
SAMBAS,2020,0.917,9858
BENGKAYANG,2020,0.792,9102
LANDAK,2020,0.682,7357
MEMPAWAH,2020,0.852,7801
SANGGAU,2020,0.756,8245
KETAPANG,2020,0.841,9163
SINTANG,2020,0.736,8728
KAPUAS HULU,2020,0.702,7162
SEKADAU,2020,0.838,7434
MELAWI,2020,0.641,8332
KAYONG UTARA,2020,0.942,7842
KUBU RAYA,2020,0.801,8709
PONTIANAK,2020,0.817,14465
SINGKAWANG,2020,0.898,11650
KOTAWARINGIN BARAT,2020,0.791,13109
KOTAWARINGIN TIMUR,2020,0.823,11854
KAPUAS,2020,1.019,11015
BARITO SELATAN,2020,1.137,11486
BARITO UTARA,2020,0.915,9936
SUKAMARA,2020,0.998,8674
LAMANDAU,2020,0.841,11190
SERUYAN,2020,0.85,9370
KATINGAN,2020,1.073,10548
PULANG PISAU,2020,1.05,10047
GUNUNG MAS,2020,0.966,10793
BARITO TIMUR,2020,1.039,11319
MURUNG RAYA,2020,0.57,10419
PALANGKA RAYA,2020,0.783,14055
TANAH LAUT,2020,0.841,11207
KOTA BARU,2020,1.003,11530
BANJAR,2020,0.737,12603
BARITO KUALA,2020,1.039,9805
TAPIN,2020,1.018,11841
HULU SUNGAI SELATAN,2020,0.903,12672
HULU SUNGAI TENGAH,2020,0.846,12153
HULU SUNGAI UTARA,2020,0.819,9527
TABALONG,2020,0.886,11283
TANAH BUMBU,2020,0.765,11718
BALANGAN,2020,0.687,11452
BANJARMASIN,2020,0.629,14306
BANJAR BARU,2020,0.678,13675
PASER,2020,0.922,10344
KUTAI BARAT,2020,0.888,9712
KUTAI KARTANEGARA,2020,0.717,10720
KUTAI TIMUR,2020,0.895,10485
BERAU,2020,1.051,12018
PENAJAM PASER UTARA,2020,0.802,11231
MAHAKAM ULU,2020,0.697,7524
BALIKPAPAN,2020,0.654,14549
SAMARINDA,2020,0.695,14135
BONTANG,2020,0.681,16278
MALINAU,2020,0.78,9611
BULUNGAN,2020,0.976,9121
TANA TIDUNG,2020,1.223,7381
NUNUKAN,2020,1.007,6804
TARAKAN,2020,1.016,10894
BOLAANG MONGONDOW,2020,1.178,10128
MINAHASA,2020,1.076,12395
KEPULAUAN SANGIHE,2020,0.994,11427
KEPULAUAN TALAUD,2020,0.76,8505
MINAHASA SELATAN,2020,0.99,11481
MINAHASA UTARA,2020,1.084,11405
BOLAANG MONGONDOW UTARA,2020,0.753,9062
SIAU TAGULANDANG BIARO,2020,0.803,8080
MINAHASA TENGGARA,2020,0.914,10408
BOLAANG MONGONDOW SELATAN,2020,0.824,8837
BOLAANG MONGONDOW TIMUR,2020,1.013,8998
MANADO,2020,0.654,13886
BITUNG,2020,0.913,12193
TOMOHON,2020,1.381,11745
KOTAMOBAGU,2020,1.131,10744
BANGGAI KEPULAUAN,2020,0.853,7429
BANGGAI,2020,0.728,9554
MOROWALI,2020,1.158,10993
POSO,2020,0.739,8808
DONGGALA,2020,0.661,7960
TOLI-TOLI,2020,0.593,7917
BUOL,2020,0.535,7942
PARIGI MOUTONG,2020,0.711,9641
TOJO UNA-UNA,2020,0.648,7606
SIGI,2020,0.755,8126
BANGGAI LAUT,2020,0.888,7663
MOROWALI UTARA,2020,0.98,8853
PALU,2020,0.602,14839
KEPULAUAN SELAYAR,2020,0.828,8970
BULUKUMBA,2020,0.705,10513
BANTAENG,2020,0.839,11632
JENEPONTO,2020,0.828,9114
TAKALAR,2020,0.641,10454
GOWA,2020,0.859,9394
SINJAI,2020,0.918,9439
MAROS,2020,0.599,10963
PANGKAJENE DAN KEPULAUAN,2020,1.1,11405
BARRU,2020,0.915,10923
BONE,2020,0.774,8963
SOPPENG,2020,0.997,9483
WAJO,2020,0.938,12386
SIDENRENG RAPPANG,2020,0.982,12073
PINRANG,2020,0.703,11844
ENREKANG,2020,0.85,10844
LUWU,2020,0.791,10014
TANA TORAJA,2020,1.012,7217
LUWU UTARA,2020,0.816,11562
LUWU TIMUR,2020,0.731,12814
TORAJA UTARA,2020,0.591,8097
MAKASAR,2020,0.74,16873
PAREPARE,2020,0.939,13663
PALOPO,2020,0.728,12995
BUTON,2020,0.74,7307
MUNA,2020,0.893,8203
KONAWE,2020,1.018,10126
KOLAKA,2020,1.204,12515
KONAWE SELATAN,2020,0.879,9037
BOMBANA,2020,0.95,8234
WAKATOBI,2020,0.945,9204
KOLAKA UTARA,2020,0.999,10218
BUTON UTARA,2020,0.94,7470
