District,Year,Consumption,Expenditure per Capita
KUDUS,2019,0.478,11318
JEPARA,2019,0.476,10609
DEMAK,2019,0.736,10344
SEMARANG,2019,0.639,12116
TEMANGGUNG,2019,0.637,9489
KENDAL,2019,0.61,11597
BATANG,2019,0.914,9573
PEKALONGAN,2019,0.771,10508
PEMALANG,2019,0.616,8546
TEGAL,2019,0.55,9798
BREBES,2019,0.412,10238
MAGELANG,2019,0.409,12514
SURAKARTA,2019,0.328,15049
SALATIGA,2019,0.646,15944
SEMARANG,2019,0.691,15550
PEKALONGAN,2019,0.472,12680
TEGAL,2019,0.341,13250
KULON PROGO,2019,0.319,10275
BANTUL,2019,0.321,15636
GUNUNG KIDUL,2019,0.539,9612
SLEMAN,2019,0.664,16434
YOGYAKARTA,2019,0.45,19125
PACITAN,2019,0.432,9033
PONOROGO,2019,0.491,9883
TRENGGALEK,2019,0.725,9865
TULUNGAGUNG,2019,0.606,10891
BLITAR,2019,0.524,10861
KEDIRI,2019,0.557,11146
MALANG,2019,0.708,10270
LUMAJANG,2019,0.841,9274
JEMBER,2019,0.764,9525
BANYUWANGI,2019,0.499,12264
BONDOWOSO,2019,1.029,10665
SITUBONDO,2019,0.528,10097
PROBOLINGGO,2019,0.514,10972
PASURUAN,2019,0.781,10381
SIDOARJO,2019,0.626,14609
MOJOKERTO,2019,0.703,12860
JOMBANG,2019,0.542,11533
NGANJUK,2019,0.446,12200
MADIUN,2019,0.449,11650
MAGETAN,2019,0.428,11779
NGAWI,2019,0.873,11468
BOJONEGORO,2019,0.828,10265
TUBAN,2019,1.441,10499
LAMONGAN,2019,0.697,11572
GRESIK,2019,0.784,13295
BANGKALAN,2019,0.896,8718
SAMPANG,2019,1.486,8760
PAMEKASAN,2019,1.041,8834
SUMENEP,2019,1.573,9082
KEDIRI,2019,0.372,12440
BLITAR,2019,0.533,13851
MALANG,2019,0.528,16666
PROBOLINGGO,2019,0.663,12280
PASURUAN,2019,0.665,13393
MOJOKERTO,2019,0.551,13710
MADIUN,2019,0.47,16040
SURABAYA,2019,0.609,17854
BATU,2019,0.619,12870
PANDEGLANG,2019,0.69,8719
LEBAK,2019,0.977,8850
TANGERANG,2019,0.856,12476
SERANG,2019,0.749,10802
TANGERANG,2019,0.658,14860
CILEGON,2019,0.614,13230
SERANG,2019,0.647,13418
TANGERANG SELATAN,2019,0.748,15988
JEMBRANA,2019,0.701,11902
TABANAN,2019,1.031,14608
BADUNG,2019,0.789,17628
GIANYAR,2019,1.105,14623
KLUNGKUNG,2019,0.925,11484
BANGLI,2019,0.969,11369
KARANGASEM,2019,1.315,10302
BULELENG,2019,0.662,13780
DENPASAR,2019,0.773,19992
LOMBOK BARAT,2019,1.142,11647
LOMBOK TENGAH,2019,1.029,10196
LOMBOK TIMUR,2019,0.804,9639
SUMBAWA,2019,0.839,9336
DOMPU,2019,0.671,9027
KAB.BIMA,2019,0.952,8631
SUMBAWA BARAT,2019,0.846,11766
LOMBOK UTARA,2019,0.782,9279
MATARAM,2019,0.74,15426
KOTA BIMA,2019,0.784,11334
SUMBA BARAT,2019,0.349,7586
SUMBA TIMUR,2019,0.443,9640
KUPANG,2019,0.291,7698
TIMOR TENGAH SELATAN,2019,0.327,6955
TIMOR TENGAH UTARA,2019,0.468,6479
BELU,2019,0.39,7677
ALOR,2019,0.675,6958
LEMBATA,2019,0.665,7474
FLORES TIMUR,2019,0.881,7770
SIKKA,2019,0.577,8313
ENDE,2019,0.649,9315
NGADA,2019,0.787,8961
MANGGARAI,2019,0.57,7276
ROTE NDAO,2019,0.421,6720
MANGGARAI BARAT,2019,0.703,7602
SUMBA TENGAH,2019,0.328,6198
SUMBA BARAT DAYA,2019,0.422,6594
NAGEKEO,2019,0.533,8469
MANGGARAI TIMUR,2019,0.399,5919
SABU RAIJUA,2019,0.417,5354
MALAKA,2019,0.624,5998
KUPANG,2019,0.445,13592
SAMBAS,2019,0.903,9924
BENGKAYANG,2019,0.806,9182
LANDAK,2019,0.819,7403
MEMPAWAH,2019,0.829,7913
SANGGAU,2019,0.757,8410
KETAPANG,2019,0.903,9259
SINTANG,2019,0.689,8823
KAPUAS HULU,2019,0.878,7206
SEKADAU,2019,0.821,7640
MELAWI,2019,0.598,8465
KAYONG UTARA,2019,0.944,7905
KUBU RAYA,2019,0.8,8773
PONTIANAK,2019,0.794,14515
SINGKAWANG,2019,0.888,11789
KOTAWARINGIN BARAT,2019,0.818,13175
KOTAWARINGIN TIMUR,2019,0.809,11905
KAPUAS,2019,1.169,11063
BARITO SELATAN,2019,1.168,11582
BARITO UTARA,2019,0.856,10010
SUKAMARA,2019,0.985,8738
LAMANDAU,2019,0.935,11278
SERUYAN,2019,0.917,9385
KATINGAN,2019,1.13,10639
PULANG PISAU,2019,1.288,10104
GUNUNG MAS,2019,1.034,10822
BARITO TIMUR,2019,0.94,11333
MURUNG RAYA,2019,0.764,10471
PALANGKA RAYA,2019,0.841,14091
TANAH LAUT,2019,0.847,11318
KOTA BARU,2019,1.08,11731
BANJAR,2019,0.78,12681
BARITO KUALA,2019,0.966,9952
TAPIN,2019,1.178,12088
HULU SUNGAI SELATAN,2019,1.042,12835
HULU SUNGAI TENGAH,2019,0.905,12257
HULU SUNGAI UTARA,2019,0.81,9772
TABALONG,2019,0.8,11476
TANAH BUMBU,2019,0.849,12025
BALANGAN,2019,0.762,11557
BANJARMASIN,2019,0.639,14547
BANJAR BARU,2019,0.689,13949
PASER,2019,0.897,10767
KUTAI BARAT,2019,0.952,10338
KUTAI KARTANEGARA,2019,0.71,11152
KUTAI TIMUR,2019,0.793,11196
BERAU,2019,0.968,12726
PENAJAM PASER UTARA,2019,0.791,11750
MAHAKAM ULU,2019,0.843,8008
BALIKPAPAN,2019,0.727,14791
SAMARINDA,2019,0.679,14613
BONTANG,2019,0.749,16843
MALINAU,2019,0.773,10121
BULUNGAN,2019,0.966,9648
TANA TIDUNG,2019,1.056,7981
NUNUKAN,2019,1.002,7290
TARAKAN,2019,0.946,11509
BOLAANG MONGONDOW,2019,1.133,10470
MINAHASA,2019,1.255,12720
KEPULAUAN SANGIHE,2019,1.024,11663
KEPULAUAN TALAUD,2019,0.847,8638
MINAHASA SELATAN,2019,0.99,11760
MINAHASA UTARA,2019,1.149,11712
BOLAANG MONGONDOW UTARA,2019,0.684,9366
SIAU TAGULANDANG BIARO,2019,0.626,8252
MINAHASA TENGGARA,2019,0.988,10665
BOLAANG MONGONDOW SELATAN,2019,0.907,9229
BOLAANG MONGONDOW TIMUR,2019,0.821,9483
MANADO,2019,0.714,14232
BITUNG,2019,0.812,12383
TOMOHON,2019,1.386,12152
KOTAMOBAGU,2019,1.266,11098
BANGGAI KEPULAUAN,2019,0.981,7619
BANGGAI,2019,0.656,9842
MOROWALI,2019,0.989,11277
POSO,2019,0.75,9084
DONGGALA,2019,0.614,8189
TOLI-TOLI,2019,0.755,8156
BUOL,2019,0.673,8151
PARIGI MOUTONG,2019,0.716,9878
TOJO UNA-UNA,2019,0.734,7765
SIGI,2019,0.768,8375
BANGGAI LAUT,2019,0.925,7888
MOROWALI UTARA,2019,0.905,9109
PALU,2019,0.795,15205
KEPULAUAN SELAYAR,2019,0.848,9028
BULUKUMBA,2019,0.762,10480
BANTAENG,2019,0.716,11592
JENEPONTO,2019,0.77,9078
TAKALAR,2019,0.637,10474
GOWA,2019,0.905,9369
SINJAI,2019,0.857,9465
MAROS,2019,0.594,10981
PANGKAJENE DAN KEPULAUAN,2019,1.049,11392
BARRU,2019,0.818,10911
BONE,2019,0.874,8954
SOPPENG,2019,1.01,9444
WAJO,2019,1,12399
SIDENRENG RAPPANG,2019,1.101,12039
PINRANG,2019,0.94,11828
ENREKANG,2019,0.775,10800
LUWU,2019,0.751,10085
TANA TORAJA,2019,0.892,7253
LUWU UTARA,2019,0.839,11583
LUWU TIMUR,2019,0.809,12802
TORAJA UTARA,2019,0.585,8083
MAKASAR,2019,1.022,16989
PAREPARE,2019,1.087,13648
PALOPO,2019,0.724,12986
BUTON,2019,0.873,7366
MUNA,2019,0.955,8253
KONAWE,2019,1.054,10200
KOLAKA,2019,1.036,12525
KONAWE SELATAN,2019,0.777,9115
BOMBANA,2019,0.993,8344
WAKATOBI,2019,1.029,9388
KOLAKA UTARA,2019,1.132,10258
BUTON UTARA,2019,0.912,7534
KONAWE UTARA,2019,0.986,9215
KOLAKA TIMUR,2019,0.828,7832
KONAWE KEPULAUAN,2019,0.846,6832
MUNA BARAT,2019,0.852,7526
BUTON TENGAH,2019,0.983,7264
BUTON SELATAN,2019,0.862,7293
KENDARI,2019,0.955,14392
BAUBAU,2019,0.794,10523
BOALEMO,2019,0.82,8874
GORONTALO,2019,1.046,9361
POHUWATO,2019,0.766,10316
BONE BOLANGO,2019,0.874,10147
GORONTALO UTARA,2019,0.962,8982
GORONTALO,2019,0.869,12298
MAJENE,2019,0.894,10029
POLEWALI MANDAR,2019,0.944,8598
MAMASA,2019,1.36,7769
MAMUJU,2019,0.906,9535
MAMUJU UTARA,2019,0.962,11094
MAMUJU TENGAH,2019,0.837,8501
MALUKU TENGGARA BARAT,2019,0.457,6396
MALUKU TENGGARA,2019,0.826,7625
MALUKU TENGAH,2019,0.955,10298
BURU,2019,0.807,10400
KEPULAUAN ARU,2019,0.719,7678
SERAM BAGIAN BARAT,2019,0.621,8704
SERAM BAGIAN TIMUR,2019,1.09,9452
MALUKU BARAT DAYA,2019,0.641,6888
BURU SELATAN,2019,0.83,7627
AMBON,2019,0.714,14233
TUAL,2019,0.757,7506
HALMAHERA BARAT,2019,0.789,7660
HALMAHERA TENGAH,2019,0.903,8258
KEPULAUAN SULA,2019,0.937,7221
HALMAHERA SELATAN,2019,0.933,7298
HALMAHERA UTARA,2019,0.646,7713
HALMAHERA TIMUR,2019,0.907,8127
PULAU MOROTAI,2019,0.75,6655
PULAU TALIABU,2019,0.769,6659
TERNATE,2019,0.822,13632
TIDORE KEPULAUAN,2019,1.083,8608
FAKFAK,2019,0.875,7608
KAIMANA,2019,1.08,8304
TELUK WONDAMA,2019,0.851,8198
TELUK BINTUNI,2019,0.666,9821
MANOKWARI,2019,0.744,11994
SORONG SELATAN,2019,0.716,6252
SORONG,2019,1.068,7507
RAJA AMPAT,2019,1.263,7958
TAMBRAUW,2019,0.578,5001
MAYBRAT,2019,0.51,5391
MANOKWARI SELATAN,2019,0.598,5511
PEGUNUNGAN ARFAK,2019,0.437,5102
SORONG,2019,0.835,13815
MERAUKE,2019,1.003,10498
JAYAWIJAYA,2019,0.18,7835
KOTA JAYAPURA,2019,0.547,10375
NABIRE,2019,0.53,9195
KEPULAUAN YAPEN,2019,1.069,7785
BIAK NUMFOR,2019,0.802,10211
PANIAI,2019,0.611,6767
PUNCAK JAYA,2019,0.136,5523
MIMIKA,2019,0.789,12035
BOVEN DIGOEL,2019,1.012,8300
MAPPI,2019,0.746,6513
ASMAT,2019,0.813,6066
YAHUKIMO,2019,0.029,5030
PEGUNUNGAN BINTANG,2019,0.561,5633
TOLIKARA,2019,0.197,5142
SARMI,2019,0.675,6860
KEEROM,2019,0.583,9136
WAROPEN,2019,0.662,7018
SUPIORI,2019,1.263,5820
MAMBERAMO RAYA,2019,1.385,4807
NDUGA,2019,0.088,4181
LANNY JAYA,2019,0.264,4569
MAMBERAMO TENGAH,2019,0.23,4671
YALIMO,2019,0.081,4860
PUNCAK,2019,0,5702
DOGIYAI,2019,0.288,5709
INTAN JAYA,2019,0.339,5593
DEIYAI,2019,0.37,4958
KAB.JAYAPURA,2019,0.791,15176
SIMEULUE,2018,0.761,6824
ACEH SINGKIL,2018,1.093,8506
ACEH SELATAN,2018,1.145,7891
ACEH TENGGARA,2018,1.432,7685
ACEH TIMUR,2018,0.96,8252
ACEH TENGAH,2018,0.759,10394
ACEH BARAT,2018,0.983,9134
ACEH BESAR,2018,0.729,9192
PIDIE,2018,0.799,9492
BIREUEN,2018,0.871,8378
ACEH UTARA,2018,0.971,7919
ACEH BARAT DAYA,2018,0.832,8093
GAYO LUES,2018,1.405,8529
ACEH TAMIANG,2018,0.669,8032
NAGAN RAYA,2018,0.799,7936
ACEH JAYA,2018,0.943,9262
BENER MERIAH,2018,0.77,10626
PIDIE JAYA,2018,0.939,9967
BANDA ACEH,2018,0.749,16234
SABANG,2018,0.804,10899
LANGSA,2018,0.795,11497
LHOKSEUMAWE,2018,0.73,10863
SUBULUSSALAM,2018,0.896,7039
NIAS,2018,1.46,6941
MANDAILING NATAL,2018,0.839,9653
TAPANULI SELATAN,2018,1.141,11209
TAPANULI TENGAH,2018,1.293,10067
TAPANULI UTARA,2018,2.322,11607
TOBA SAMOSIR,2018,1.872,12095
LABUHAN BATU,2018,1.282,11053
ASAHAN,2018,1.277,10735
SIMALUNGUN,2018,1.24,11311
DAIRI,2018,2.13,10492
KARO,2018,1.333,12367
DELI SERDANG,2018,1.054,12132
LANGKAT,2018,0.892,11088
NIAS SELATAN,2018,1.21,6941
HUMBANG HASUNDUTAN,2018,2.553,7630
PAKPAK BHARAT,2018,2.121,8099
SAMOSIR,2018,2.352,8348
SERDANG BEDAGAI,2018,1.072,10737
BATU BARA,2018,0.939,10385
PADANG LAWAS UTARA,2018,1.15,9912
PADANG LAWAS,2018,0.93,8772
LABUHAN BATU SELATAN,2018,1.028,11280
LABUHAN BATU UTARA,2018,1.217,11730
NIAS UTARA,2018,1.231,6041
NIAS BARAT,2018,1.658,5817
SIBOLGA,2018,0.944,11405
TANJUNG BALAI,2018,1.11,11102
PEMATANG SIANTAR,2018,1.291,12290
TEBING TINGGI,2018,0.848,12434
MEDAN,2018,1.065,14845
BINJAI,2018,0.955,10750
PADANGSIDIMPUAN,2018,0.934,10795
GUNUNGSITOLI,2018,1.158,7639
KEPULAUAN MENTAWAI,2018,0.933,6211
PESISIR SELATAN,2018,0.76,9089
SOLOK,2018,0.804,10035
SIJUNJUNG,2018,0.671,10277
TANAH DATAR,2018,0.822,10417
PADANG PARIAMAN,2018,0.616,10919
AGAM,2018,0.82,9489
LIMA PULUH KOTA,2018,0.835,9500
PASAMAN,2018,0.774,8238
SOLOK SELATAN,2018,0.71,10199
DHARMASRAYA,2018,0.702,11189
PASAMAN BARAT,2018,0.731,8979
PADANG,2018,0.618,14312
SOLOK,2018,0.83,11968
SAWAH LUNTO,2018,0.63,9765
PADANG PANJANG,2018,0.717,10440
BUKITTINGGI,2018,0.737,13035
PAYAKUMBUH,2018,0.677,13114
PARIAMAN,2018,0.493,12611
KUANTAN SINGINGI,2018,1.015,10476
INDRAGIRI HULU,2018,0.807,10481
INDRAGIRI HILIR,2018,1.078,10254
PELALAWAN,2018,0.908,11894
SIAK,2018,1.022,12119
KAMPAR,2018,0.886,11128
ROKAN HULU,2018,0.941,9608
BENGKALIS,2018,0.971,11640
ROKAN HILIR,2018,1.259,9316
KEPULAUAN MERANTI,2018,1.202,7978
PEKANBARU,2018,0.864,14778
DUMAI,2018,0.931,12063
KERINCI,2018,0.818,9951
MERANGIN,2018,0.834,10133
SAROLANGUN,2018,0.792,11609
BATANG HARI,2018,0.695,9833
MUARO JAMBI,2018,0.801,8456
TANJUNG JABUNG TIMUR,2018,0.954,8904
TANJUNG JABUNG BARAT,2018,0.916,9395
TEBO,2018,0.724,10273
BUNGO,2018,0.732,11352
JAMBI,2018,0.696,11912
SUNGAI PENUH,2018,0.843,10186
OGAN KOMERING ULU,2018,0.787,9940
OGAN KOMERING ILIR,2018,0.85,10706
MUARA ENIM,2018,0.805,11012
LAHAT,2018,0.656,9600
MUSI RAWAS,2018,0.6,9562
MUSI BANYUASIN,2018,0.791,10212
BANYU ASIN,2018,0.94,9760
OGAN KOMERING ULU SELATAN,2018,0.744,8445
OGAN KOMERING ULU TIMUR,2018,0.771,11612
OGAN ILIR,2018,0.77,10412
EMPAT LAWANG,2018,0.604,9450
PENUKAL ABAB LEMATANG ILIR,2018,0.763,8136
MUSI RAWAS UTARA,2018,0.693,9795
PALEMBANG,2018,0.791,14697
PRABUMULIH,2018,0.787,12765
PAGAR ALAM,2018,0.653,8758
LUBUKLINGGAU,2018,0.705,13288
BENGKULU SELATAN,2018,0.699,9592
REJANG LEBONG,2018,0.676,10045
BENGKULU UTARA,2018,0.604,10098
KAUR,2018,0.581,8284
SELUMA,2018,0.572,7844
MUKOMUKO,2018,0.726,10036
LEBONG,2018,0.793,11071
KEPAHIANG,2018,0.774,9135
BENGKULU TENGAH,2018,0.694,9102
BENGKULU,2018,0.756,13633
LAMPUNG BARAT,2018,0.775,9741
TANGGAMUS,2018,0.539,9107
LAMPUNG SELATAN,2018,0.659,9781
LAMPUNG TIMUR,2018,0.666,9908
LAMPUNG TENGAH,2018,0.705,11052
LAMPUNG UTARA,2018,0.674,8559
WAY KANAN,2018,0.752,8979
TULANGBAWANG,2018,0.796,10553
PESAWARAN,2018,0.583,7724
PRINGSEWU,2018,0.538,10190
MESUJI,2018,0.809,7774
TULANG BAWANG BARAT,2018,0.637,8205
PESISIR BARAT,2018,0.725,8355
BANDAR LAMPUNG,2018,0.555,11952
METRO,2018,0.543,11636
BANGKA,2018,0.833,12043
BELITUNG,2018,0.974,13281
BANGKA BARAT,2018,0.815,12011
BANGKA TENGAH,2018,0.721,12836
BANGKA SELATAN,2018,0.944,11573
BELITUNG TIMUR,2018,1.068,11302
PANGKAL PINANG,2018,0.798,15560
KARIMUN,2018,1.012,11945
BINTAN,2018,1.041,14256
NATUNA,2018,1.104,14217
LINGGA,2018,1.499,11499
KEPULAUAN ANAMBAS,2018,1.168,11894
BATAM,2018,0.793,17560
TANJUNG PINANG,2018,0.924,15292
KEPULAUAN SERIBU,2018,1.319,12264
JAKARTA SELATAN,2018,0.791,23363
JAKARTA TIMUR,2018,0.825,17339
JAKARTA PUSAT,2018,0.441,16994
JAKARTA BARAT,2018,0.881,20298
JAKARTA UTARA,2018,0.846,18121
BOGOR,2018,0.812,10323
SUKABUMI,2018,1.069,8618
CIANJUR,2018,0.916,7874
BANDUNG,2018,0.726,10203
GARUT,2018,0.522,7597
TASIKMALAYA,2018,0.568,7761
CIAMIS,2018,0.565,9190
KUNINGAN,2018,0.54,9297
CIREBON,2018,0.427,10212
MAJALENGKA,2018,0.524,9416
SUMEDANG,2018,0.762,10153
INDRAMAYU,2018,0.596,9633
SUBANG,2018,0.806,10715
PURWAKARTA,2018,0.939,11372
KARAWANG,2018,0.741,11277
BEKASI,2018,0.64,11155
BANDUNG BARAT,2018,0.813,8329
PANGANDARAN,2018,0.564,8968
BOGOR,2018,0.866,11348
SUKABUMI,2018,0.964,10609
BANDUNG,2018,0.61,16630
CIREBON,2018,0.345,11397
BEKASI,2018,0.667,15755
DEPOK,2018,0.719,15262
CIMAHI,2018,0.607,11921
TASIKMALAYA,2018,0.387,9855
KOTA BANJAR,2018,0.388,10329
CILACAP,2018,0.371,10274
BANYUMAS,2018,0.458,11240
PURBALINGGA,2018,0.327,9786
BANJARNEGARA,2018,0.843,9160
KEBUMEN,2018,0.306,8757
PURWOREJO,2018,0.419,10048
WONOSOBO,2018,0.77,10503
MAGELANG,2018,0.374,9025
BOYOLALI,2018,0.52,12758
KLATEN,2018,0.462,11738
SUKOHARJO,2018,0.599,11100
WONOGIRI,2018,0.465,9117
KARANGANYAR,2018,0.492,11223
SRAGEN,2018,0.622,12391
GROBOGAN,2018,0.455,10097
BLORA,2018,0.712,9385
REMBANG,2018,0.992,10191
PATI,2018,0.87,10190
KUDUS,2018,0.493,10979
JEPARA,2018,0.553,10169
DEMAK,2018,0.772,10001
SEMARANG,2018,0.696,11807
TEMANGGUNG,2018,0.574,9142
KENDAL,2018,0.497,11257
BATANG,2018,0.98,9203
PEKALONGAN,2018,0.718,10221
PEMALANG,2018,0.715,8186
TEGAL,2018,0.491,9433
BREBES,2018,0.419,9890
MAGELANG,2018,0.473,11994
SURAKARTA,2018,0.391,14528
SALATIGA,2018,0.725,15464
SEMARANG,2018,0.653,14895
PEKALONGAN,2018,0.413,12312
TEGAL,2018,0.341,12830
KULON PROGO,2018,0.332,9698
BANTUL,2018,0.364,15386
GUNUNG KIDUL,2018,0.532,9163
SLEMAN,2018,0.604,15844
YOGYAKARTA,2018,0.401,18629
PACITAN,2018,0.367,8527
PONOROGO,2018,0.329,9426
TRENGGALEK,2018,0.772,9400
TULUNGAGUNG,2018,0.54,10455
BLITAR,2018,0.431,10327
KEDIRI,2018,0.482,10853
MALANG,2018,0.661,9844
LUMAJANG,2018,0.788,8931
JEMBER,2018,0.686,9090
BANYUWANGI,2018,0.508,11828
BONDOWOSO,2018,1.025,10429
SITUBONDO,2018,0.644,9692
PROBOLINGGO,2018,0.451,10700
PASURUAN,2018,0.894,9933
SIDOARJO,2018,0.595,14168
MOJOKERTO,2018,0.635,12454
JOMBANG,2018,0.536,10999
NGANJUK,2018,0.493,11768
MADIUN,2018,0.545,11351
MAGETAN,2018,0.372,11539
NGAWI,2018,0.568,11187
BOJONEGORO,2018,0.788,9926
TUBAN,2018,1.34,10048
LAMONGAN,2018,0.908,11108
GRESIK,2018,0.631,12845
BANGKALAN,2018,0.767,8393
SAMPANG,2018,1.478,8569
PAMEKASAN,2018,0.911,8536
SUMENEP,2018,1.89,8722
KEDIRI,2018,0.321,11976
BLITAR,2018,0.587,13391
MALANG,2018,0.448,16158
PROBOLINGGO,2018,0.727,11796
PASURUAN,2018,0.715,12931
MOJOKERTO,2018,0.461,13155
MADIUN,2018,0.449,15616
SURABAYA,2018,0.635,17157
BATU,2018,0.708,12466
PANDEGLANG,2018,0.835,8613
LEBAK,2018,0.974,8634
TANGERANG,2018,0.825,12179
SERANG,2018,0.777,10693
TANGERANG,2018,0.704,14443
CILEGON,2018,0.593,12900
SERANG,2018,0.695,13261
TANGERANG SELATAN,2018,0.734,15672
JEMBRANA,2018,0.712,11666
TABANAN,2018,0.973,14245
BADUNG,2018,0.816,17325
GIANYAR,2018,0.742,14376
KLUNGKUNG,2018,1.225,11318
BANGLI,2018,1.037,11160
KARANGASEM,2018,1.419,10050
BULELENG,2018,0.718,13235
DENPASAR,2018,0.619,19698
LOMBOK BARAT,2018,0.859,11367
LOMBOK TENGAH,2018,0.796,9796
LOMBOK TIMUR,2018,0.696,9268
SUMBAWA,2018,0.741,9028
DOMPU,2018,0.756,8743
KAB.BIMA,2018,0.671,8354
SUMBAWA BARAT,2018,0.834,11496
LOMBOK UTARA,2018,0.681,8888
MATARAM,2018,0.612,14797
KOTA BIMA,2018,0.744,10825
SUMBA BARAT,2018,0.317,7275
SUMBA TIMUR,2018,0.348,9351
KUPANG,2018,0.261,7472
TIMOR TENGAH SELATAN,2018,0.224,6855
TIMOR TENGAH UTARA,2018,0.431,6357
BELU,2018,0.409,7403
ALOR,2018,0.491,6750
LEMBATA,2018,0.617,7253
FLORES TIMUR,2018,0.786,7573
SIKKA,2018,0.523,7958
ENDE,2018,0.537,8995
NGADA,2018,0.629,8857
MANGGARAI,2018,0.483,7175
ROTE NDAO,2018,0.478,6484
MANGGARAI BARAT,2018,0.624,7426
SUMBA TENGAH,2018,0.238,6093
SUMBA BARAT DAYA,2018,0.364,6298
NAGEKEO,2018,0.359,8219
MANGGARAI TIMUR,2018,0.34,5809
SABU RAIJUA,2018,0.359,5245
MALAKA,2018,0.537,5894
KUPANG,2018,0.451,13199
SAMBAS,2018,0.868,9774
BENGKAYANG,2018,0.755,9072
LANDAK,2018,0.727,7183
MEMPAWAH,2018,0.917,7779
SANGGAU,2018,0.705,8126
KETAPANG,2018,0.919,8988
SINTANG,2018,0.627,8624
KAPUAS HULU,2018,0.864,7074
SEKADAU,2018,0.761,7326
MELAWI,2018,0.721,8202
KAYONG UTARA,2018,1.091,7552
KUBU RAYA,2018,0.936,8532
PONTIANAK,2018,0.85,14322
SINGKAWANG,2018,0.886,11514
KOTAWARINGIN BARAT,2018,0.999,12788
KOTAWARINGIN TIMUR,2018,0.877,11556
KAPUAS,2018,1.198,10738
BARITO SELATAN,2018,1.108,11242
BARITO UTARA,2018,0.893,9357
SUKAMARA,2018,1.139,8482
LAMANDAU,2018,1.016,10996
SERUYAN,2018,1.075,9110
KATINGAN,2018,0.945,10327
PULANG PISAU,2018,1.16,9807
GUNUNG MAS,2018,0.945,10504
BARITO TIMUR,2018,1.069,11000
MURUNG RAYA,2018,0.635,10164
PALANGKA RAYA,2018,0.813,13677
TANAH LAUT,2018,0.996,11209
KOTA BARU,2018,1.125,11579
BANJAR,2018,0.805,12571
BARITO KUALA,2018,1.003,9780
TAPIN,2018,1.018,11847
HULU SUNGAI SELATAN,2018,0.905,12535
HULU SUNGAI TENGAH,2018,0.979,12138
HULU SUNGAI UTARA,2018,1.018,9567
TABALONG,2018,0.811,11227
TANAH BUMBU,2018,0.889,11710
BALANGAN,2018,0.956,11442
BANJARMASIN,2018,0.76,14256
BANJAR BARU,2018,0.687,13590
PASER,2018,0.868,10605
KUTAI BARAT,2018,0.969,9849
KUTAI KARTANEGARA,2018,0.718,10959
KUTAI TIMUR,2018,0.884,10614
BERAU,2018,0.962,12207
PENAJAM PASER UTARA,2018,0.841,11492
MAHAKAM ULU,2018,0.772,7653
BALIKPAPAN,2018,0.791,14557
SAMARINDA,2018,0.588,14466
BONTANG,2018,0.747,16698
MALINAU,2018,0.774,9853
BULUNGAN,2018,0.918,9310
TANA TIDUNG,2018,0.946,7511
NUNUKAN,2018,1.113,6956
TARAKAN,2018,1.017,11153
BOLAANG MONGONDOW,2018,1.15,10054
MINAHASA,2018,1.222,12319
KEPULAUAN SANGIHE,2018,1.149,11397
KEPULAUAN TALAUD,2018,1.099,8525
MINAHASA SELATAN,2018,0.95,11410
MINAHASA UTARA,2018,1.068,11318
BOLAANG MONGONDOW UTARA,2018,0.876,8992
SIAU TAGULANDANG BIARO,2018,0.859,8097
MINAHASA TENGGARA,2018,0.976,10354
BOLAANG MONGONDOW SELATAN,2018,0.919,8743
BOLAANG MONGONDOW TIMUR,2018,0.892,8856
MANADO,2018,0.797,13814
BITUNG,2018,1.016,12168
TOMOHON,2018,1.396,11647
KOTAMOBAGU,2018,0.939,10663
BANGGAI KEPULAUAN,2018,0.965,7545
BANGGAI,2018,0.69,9712
MOROWALI,2018,1.04,11159
POSO,2018,0.655,8936
DONGGALA,2018,0.662,8106
TOLI-TOLI,2018,0.672,8017
BUOL,2018,0.771,8079
PARIGI MOUTONG,2018,0.719,9808
TOJO UNA-UNA,2018,0.572,7608
SIGI,2018,0.772,8236
BANGGAI LAUT,2018,1.089,7810
MOROWALI UTARA,2018,0.906,8985
PALU,2018,0.629,15074
KEPULAUAN SELAYAR,2018,0.872,8666
BULUKUMBA,2018,0.64,10331
BANTAENG,2018,0.68,11153
JENEPONTO,2018,0.945,8957
TAKALAR,2018,0.653,10134
GOWA,2018,0.906,9179
SINJAI,2018,0.852,9098
MAROS,2018,0.706,10558
PANGKAJENE DAN KEPULAUAN,2018,1.185,11197
BARRU,2018,0.939,10622
BONE,2018,0.87,8686
SOPPENG,2018,1.39,9291
WAJO,2018,1.082,12057
SIDENRENG RAPPANG,2018,1.175,11834
PINRANG,2018,1.176,11508
ENREKANG,2018,0.843,10683
LUWU,2018,0.979,9705
TANA TORAJA,2018,0.825,7087
LUWU UTARA,2018,0.869,11429
LUWU TIMUR,2018,0.866,12346
TORAJA UTARA,2018,0.602,7783
MAKASAR,2018,0.74,16597
PAREPARE,2018,0.903,13303
PALOPO,2018,0.826,12662
BUTON,2018,0.65,7209
MUNA,2018,0.922,8098
KONAWE,2018,1.155,10004
KOLAKA,2018,1.081,12384
KONAWE SELATAN,2018,0.839,8914
BOMBANA,2018,1.005,8190
WAKATOBI,2018,1.412,9136
KOLAKA UTARA,2018,1.104,10133
BUTON UTARA,2018,0.958,7393
KONAWE UTARA,2018,0.992,9050
