District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
KONAWE SELATAN,0.879,Sedang,70.51,9037,11826,6.80
BOMBANA,0.95,Sedang,70.51,8234,14708,9.29
WAKATOBI,0.945,Sedang,70.51,9204,15896,8.98
KOLAKA UTARA,0.999,Sedang,70.51,10218,15790,8.04
BUTON UTARA,0.94,Sedang,70.51,7470,15688,10.92
KONAWE UTARA,1.129,Sedang,70.51,9165,18452,10.47
KOLAKA TIMUR,0.831,Sedang,70.51,7727,15998,10.77
KONAWE KEPULAUAN,0.677,Rendah,70.51,6700,13249,10.28
MUNA BARAT,0.86,Sedang,70.51,7485,9939,6.90
BUTON TENGAH,0.811,Sedang,70.51,7221,10043,7.23
BUTON SELATAN,0.85,Sedang,70.51,7263,12190,8.73
KENDARI,0.923,Sedang,70.51,14335,17984,6.52
BAUBAU,0.754,Rendah,70.51,10483,13435,6.66
BOALEMO,0.806,Sedang,65.41,8789,13726,8.12
GORONTALO,1.034,Sedang,65.41,9277,13054,7.32
POHUWATO,0.723,Rendah,65.41,10255,11694,5.93
BONE BOLANGO,0.814,Sedang,65.41,10052,14549,7.53
GORONTALO UTARA,0.747,Rendah,65.41,8921,12238,7.13
GORONTALO,0.758,Rendah,65.41,12278,15853,6.71
MAJENE,0.914,Sedang,64.15,10056,12553,6.49
POLEWALI MANDAR,1.012,Sedang,64.15,8580,12251,7.42
MAMASA,1.17,Sedang,64.15,7747,9185,6.17
MAMUJU,0.892,Sedang,64.15,9500,13291,7.28
MAMUJU UTARA,0.854,Sedang,64.15,11111,14212,6.65
MAMUJU TENGAH,0.784,Rendah,64.15,8414,14420,8.91
MALUKU TENGGARA BARAT,0.586,Rendah,73.82,6297,16546,13.66
MALUKU TENGGARA,0.679,Rendah,73.82,7545,13574,9.36
MALUKU TENGAH,0.968,Sedang,73.82,10210,14573,7.42
BURU,0.63,Rendah,73.82,10316,11316,5.70
KEPULAUAN ARU,0.701,Rendah,73.82,7586,15003,10.28
SERAM BAGIAN BARAT,0.721,Rendah,73.82,8690,14044,8.40
SERAM BAGIAN TIMUR,1.411,Sedang,73.82,9453,15737,8.66
MALUKU BARAT DAYA,0.803,Sedang,73.82,6890,15806,11.93
BURU SELATAN,0.72,Rendah,73.82,7566,12720,8.74
AMBON,0.736,Rendah,73.82,14116,15219,5.61
TUAL,0.811,Sedang,73.82,7351,14872,10.52
HALMAHERA BARAT,0.824,Sedang,74.59,7352,16339,11.56
HALMAHERA TENGAH,0.875,Sedang,74.59,7841,14484,9.61
KEPULAUAN SULA,0.906,Sedang,74.59,6950,12173,9.11
HALMAHERA SELATAN,0.981,Sedang,74.59,7068,12952,9.53
HALMAHERA UTARA,0.705,Rendah,74.59,7414,16510,11.58
HALMAHERA TIMUR,0.816,Sedang,74.59,7876,15635,10.32
PULAU MOROTAI,0.6,Rendah,74.59,6290,12050,9.96
PULAU TALIABU,0.938,Sedang,74.59,6390,12830,10.44
TERNATE,0.788,Rendah,74.59,13091,18036,7.16
TIDORE KEPULAUAN,0.855,Sedang,74.59,8188,21440,13.62
FAKFAK,1.037,Sedang,64.65,7599,21900,14.99
KAIMANA,1.037,Sedang,64.65,8325,19464,12.16
TELUK WONDAMA,0.848,Sedang,64.65,8219,25220,15.96
TELUK BINTUNI,0.72,Rendah,64.65,9974,22151,11.55
MANOKWARI,0.658,Rendah,64.65,12207,18331,7.81
SORONG SELATAN,0.965,Sedang,64.65,6286,20313,16.80
SORONG,0.738,Rendah,64.65,7495,14719,10.21
RAJA AMPAT,1.222,Sedang,64.65,8014,17795,11.55
TAMBRAUW,0.922,Sedang,64.65,4998,16316,16.98
MAYBRAT,0.795,Sedang,64.65,5336,26719,26.04
MANOKWARI SELATAN,0.655,Rendah,64.65,5505,19232,18.17
PEGUNUNGAN ARFAK,0.192,Rendah,64.65,5099,4586,4.68
SORONG,0.83,Sedang,64.65,13954,18843,7.02
MERAUKE,1.044,Sedang,61.24,10097,18810,9.69
JAYAWIJAYA,0.385,Rendah,61.24,7441,17875,12.49
KOTA JAYAPURA,0.367,Rendah,61.24,9898,15134,7.95
NABIRE,0.682,Rendah,61.24,8840,24752,14.56
KEPULAUAN YAPEN,0.825,Sedang,61.24,7484,23473,16.31
BIAK NUMFOR,0.841,Sedang,61.24,9705,20996,11.25
PANIAI,0.433,Rendah,61.24,6361,16363,13.38
PUNCAK JAYA,0.237,Rendah,61.24,5282,11234,11.06
MIMIKA,0.819,Sedang,61.24,11431,21184,9.64
BOVEN DIGOEL,0.729,Rendah,61.24,7947,16708,10.93
MAPPI,0.724,Rendah,61.24,6353,14195,11.62
ASMAT,0.968,Sedang,61.24,5733,18255,16.56
YAHUKIMO,0.117,Rendah,61.24,4875,6970,7.43
PEGUNUNGAN BINTANG,0.22,Rendah,61.24,5409,11763,11.31
TOLIKARA,0.141,Rendah,61.24,4826,2438,2.63
SARMI,0.898,Sedang,61.24,6600,25275,19.91
KEEROM,0.313,Rendah,61.24,8910,8993,5.25
WAROPEN,1.092,Sedang,61.24,6732,48862,37.74
SUPIORI,1.865,Sedang,61.24,5677,42548,38.97
MAMBERAMO RAYA,1.552,Sedang,61.24,4581,19593,22.24
NDUGA,0.131,Rendah,61.24,3975,3660,4.79
LANNY JAYA,0.394,Rendah,61.24,4350,5302,6.34
MAMBERAMO TENGAH,0.4,Rendah,61.24,4462,7892,9.20
YALIMO,0.533,Rendah,61.24,4647,16176,18.10
PUNCAK,0,Rendah,61.24,5378,10,0.01
DOGIYAI,0.44,Rendah,61.24,5373,7292,7.06
INTAN JAYA,0.788,Rendah,61.24,5283,7781,7.66
DEIYAI,0.353,Rendah,61.24,4632,20646,23.18
KAB.JAYAPURA,0.599,Rendah,61.24,14763,22092,7.78
