District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
SUNGAI PENUH,0.798,Sedang,40.57,10248,15966,8.10
OGAN KOMERING ULU,0.768,Rendah,43.15,10020,9497,4.93
OGAN KOMERING ILIR,0.81,Sedang,43.15,10725,11405,5.53
MUARA ENIM,0.804,Sedang,43.15,10951,10519,4.99
LAHAT,0.834,Sedang,43.15,9730,10322,5.52
MUSI RAWAS,0.632,Rendah,43.15,9520,8775,4.79
MUSI BANYUASIN,0.877,Sedang,43.15,10088,11865,6.12
BANYU ASIN,0.882,Sedang,43.15,9850,11001,5.81
OGAN KOMERING ULU SELATAN,0.672,Rendah,43.15,8580,7938,4.81
OGAN KOMERING ULU TIMUR,0.827,Sedang,43.15,11505,8670,3.92
OGAN ILIR,0.71,Rendah,43.15,10424,9896,4.94
EMPAT LAWANG,0.597,Rendah,43.15,9350,6647,3.70
PENUKAL ABAB LEMATANG ILIR,0.867,Sedang,43.15,8196,9234,5.86
MUSI RAWAS UTARA,0.707,Rendah,43.15,9783,10624,5.65
PALEMBANG,0.715,Rendah,43.15,14679,14275,5.06
PRABUMULIH,0.727,Rendah,43.15,12723,10423,4.26
PAGAR ALAM,0.482,Rendah,43.15,8795,7428,4.39
LUBUKLINGGAU,0.718,Rendah,43.15,13243,11438,4.49
BENGKULU SELATAN,0.713,Rendah,45.74,9837,13072,6.91
REJANG LEBONG,0.58,Rendah,45.74,10234,7139,3.63
BENGKULU UTARA,0.7,Rendah,45.74,10263,9421,4.77
KAUR,0.591,Rendah,45.74,8593,12424,7.52
SELUMA,0.596,Rendah,45.74,8220,9408,5.95
MUKOMUKO,0.855,Sedang,45.74,10266,12766,6.47
LEBONG,0.841,Sedang,45.74,11124,10829,5.06
KEPAHIANG,0.654,Rendah,45.74,9273,7892,4.43
BENGKULU TENGAH,0.631,Rendah,45.74,9392,9744,5.39
BENGKULU,0.723,Rendah,45.74,13938,14779,5.51
LAMPUNG BARAT,0.697,Rendah,36.16,9929,9421,4.93
TANGGAMUS,0.574,Rendah,36.16,9250,8076,4.54
LAMPUNG SELATAN,0.629,Rendah,36.16,9875,8594,4.53
LAMPUNG TIMUR,0.666,Rendah,36.16,9983,7578,3.95
LAMPUNG TENGAH,0.723,Rendah,36.16,11219,7038,3.26
LAMPUNG UTARA,0.632,Rendah,36.16,8733,7696,4.58
WAY KANAN,0.655,Rendah,36.16,9102,7424,4.24
TULANGBAWANG,0.752,Rendah,36.16,10683,8403,4.09
PESAWARAN,0.65,Rendah,36.16,7892,7987,5.26
PRINGSEWU,0.487,Rendah,36.16,10262,7229,3.66
MESUJI,0.628,Rendah,36.16,7894,7047,4.64
TULANG BAWANG BARAT,0.589,Rendah,36.16,8395,6134,3.80
PESISIR BARAT,0.633,Rendah,36.16,8457,13411,8.25
BANDAR LAMPUNG,0.631,Rendah,36.16,12197,14285,6.09
METRO,0.679,Rendah,36.16,11906,12166,5.31
BANGKA,0.812,Sedang,64.32,12416,22224,9.31
BELITUNG,0.945,Sedang,64.32,13554,25324,9.72
BANGKA BARAT,0.866,Sedang,64.32,12233,18717,7.96
BANGKA TENGAH,0.779,Rendah,64.32,12909,18417,7.42
BANGKA SELATAN,0.856,Sedang,64.32,11757,19829,8.77
BELITUNG TIMUR,1.069,Sedang,64.32,11730,27053,11.99
PANGKAL PINANG,0.765,Rendah,64.32,15663,22564,7.49
KARIMUN,0.964,Sedang,68.6,11885,20779,9.09
BINTAN,0.992,Sedang,68.6,14482,17876,6.42
NATUNA,1.038,Sedang,68.6,14705,17716,6.26
LINGGA,1.279,Sedang,68.6,11998,20262,8.78
KEPULAUAN ANAMBAS,1.1,Sedang,68.6,11875,18257,7.99
BATAM,0.887,Sedang,68.6,18095,21779,6.26
TANJUNG PINANG,0.806,Sedang,68.6,15498,19109,6.41
KEPULAUAN SERIBU,0.949,Sedang,48.19,12412,21747,9.11
